Department,dept,Infants,Crime_pers,Suicides,Wealth,Commerce,Clergy,Infanticide
Ain,01,33120,28870,35039,73,58,11,60
Aisne,02,14572,26226,12883,22,10,82,82
Allier,03,17044,26747,114121,61,66,68,42
Basses-Alpes,04,23018,12935,14238,76,49,5,12
Hautes-Alpes,05,23076,17488,16171,83,65,10,23
Ardèche,07,42117,9474,52547,84,1,28,47
Ardennes,08,16106,35203,26198,33,4,50,85
Ariège,09,22916,6173,123525,72,60,39,28
Aube,10,18642,19602,10989,14,3,42,54
Aude,11,20225,15647,66498,17,35,15,35
Aveyron,12,21981,8236,116671,50,70,3,5
Bouches-du-Rhône,13,9525,13409,8107,2,26,36,74
Calvados,14,8983,17577,31807,10,48,7,56
Cantal,15,15335,18070,87338,59,74,6,83
Charente,16,19454,24964,25720,37,47,79,7
Charente-Inferieure,17,23999,18712,16798,18,5,86,38
Cher,18,23574,21934,19497,63,56,83,11
Corrèze,19,19330,15262,47480,74,80,46,16
Corse,200,24743,2199,37016,,83,1,2
Côte-d'Or,21,15599,32256,16128,16,12,37,27
Cotes-du-Nord,22,36098,28607,75056,70,86,30,69
Creuse,23,14353,37014,77823,78,82,75,24
Dordogne,24,21375,21585,36024,60,72,77,18
Doubs,25,12512,11560,40690,31,57,24,25
Drôme,26,16348,13396,23816,66,41,22,13
Eure,27,16039,14795,13493,20,17,27,46
Eure-et-Loir,28,14475,21368,15015,11,21,16,62
Finistère,29,28392,29872,25143,36,84,66,78
Gard,30,28726,13115,18292,26,31,81,39
Haute-Garonne,31,15378,18642,56140,23,40,23,59
Gers,32,15250,18642,61520,40,30,12,14
Gironde,33,10676,24096,19220,8,20,69,80
Hérault,34,21346,12814,30869,12,34,67,51
Ille-et-Vilaine,35,40736,22138,45180,55,77,19,31
Indre,36,20046,32404,25014,54,55,84,19
Indre-et-Loire,37,16601,19131,15272,27,25,58,3
Isère,38,12235,18785,36275,65,46,53,27
Jura,39,20384,26221,34476,62,54,32,66
Landes,40,15302,17687,35375,81,68,63,43
Loir-et-Cher,41,13864,21292,14417,19,23,57,37
Loire,42,29605,27491,71564,24,79,34,77
Haute-Loire,43,31017,16170,163242,75,85,8,17
Loire-Inferieure,44,14097,19314,27289,80,76,73,52
Loiret,45,9986,17722,11816,9,24,54,22
Lot,46,20383,5883,48785,42,67,20,15
Lot-et-Garonne,47,17681,22969,38501,7,53,49,32
Lozère,48,25157,7710,111022,77,69,2,45
Maine-et-Loire,49,18703,29592,33358,34,52,43,36
Manche,50,14281,31078,55564,32,73,9,70
Marne,51,11267,15602,8334,13,6,47,58
Haute-Marne,52,17507,26231,19586,25,7,18,55
Mayenne,53,18544,28331,28331,38,75,40,40
Meurthe,54,12355,26574,15652,57,11,26,71
Meuse,55,17333,24507,13465,52,2,33,65
Morbihan,56,31754,23316,34196,48,81,31,29
Moselle,57,13877,12153,25572,53,19,13,9
Nièvre,58,19747,25087,29381,44,33,80,20
Nord,59,8926,26740,13851,28,38,74,81
Oise,60,18021,28180,5994,15,14,60,86
Orne,61,20852,28329,34069,35,62,21,50
Pas-de-Calais,62,10575,23101,15400,45,39,44,79
Puy-de-Dôme,63,22948,17256,78148,51,78,52,63
Basses-Pyrénées,64,12393,16722,65995,79,71,38,72
Hautes-Pyrénées,65,12125,12223,148039,85,51,17,75
Pyrénées-Orientales,66,15167,6728,37843,71,37,4,84
Bas-Rhin,67,14356,12309,18623,46,16,64,48
Haut-Rhin,68,14783,7343,21233,58,29,65,53
Rhône,69,5910,18793,17003,6,18,35,33
Haute-Saône,70,11850,22339,39714,69,27,25,68
Saône-et-Loire,71,20442,28391,22184,49,61,59,10
Sarthe,72,10779,33913,29280,41,45,41,57
Seine,75,2660,13945,3632,1,9,85,67
Seine-Inferieure,76,7506,18355,9523,3,22,62,61
Seine-et-Marne,77,16324,22201,7315,4,13,56,73
Seine-et-Oise,78,16303,12477,5460,5,8,45,30
Deux-Sèvres,79,25461,18400,24533,39,59,72,4
Somme,80,12447,33592,12836,21,36,48,64
Tarn,81,29305,13019,68980,47,44,14,9
Tarn-et-Garonne,82,23771,14790,48317,29,50,29,41
Var,83,14800,13145,13380,43,39,61,49
Vaucluse,84,17239,13576,19024,64,28,78,76
Vendée,85,62486,20827,67963,56,64,70,44
Vienne,86,35224,15010,21851,68,43,71,1
Haute-Vienne,87,19940,16256,33497,67,63,76,6
Vosges,88,14978,18835,33029,82,42,51,34
Yonne,89,16616,18006,12789,30,15,55,22
